epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.4644,1.54397,2.09482,1.53871,0.88536,0.91228,0.89196,0.55219,1.39526,2.09888,1.26355,8e-05,8e-05,8e-05
2,62.4066,1.47876,1.41083,1.54172,0.94422,0.89097,0.91166,0.7423,0.76671,0.85337,0.99867,0.000179109,0.000179109,0.000179109
3,90.8787,1.34502,1.21363,1.39247,0.97994,0.87719,0.91379,0.73114,0.80484,0.84504,1.00462,0.000277228,0.000277228,0.000277228
4,117.972,1.43298,1.21822,1.45416,0.88234,0.85965,0.87907,0.66656,0.87806,1.57744,0.98744,0.000374357,0.000374357,0.000374357
5,145.966,1.32839,1.38364,1.40246,0.86084,0.8683,0.82704,0.60405,0.97068,1.16014,1.03164,0.000470496,0.000470496,0.000470496
6,173.49,1.14497,1.01575,1.23576,0.60225,0.82349,0.55638,0.41883,0.9209,2.00125,1.00701,0.000565645,0.000565645,0.000565645
7,200.862,1.19155,1.00363,1.28981,0.58158,0.66667,0.51327,0.40606,0.87112,2.86412,1.01915,0.000659804,0.000659804,0.000659804
8,228.105,1.55503,1.48746,1.52288,0.92958,0.7193,0.82713,0.66663,0.91741,3.05061,1.0441,0.000752973,0.000752973,0.000752973
9,255.453,1.22622,1.23028,1.28944,0.65079,0.52632,0.62052,0.48486,0.97569,5.03137,1.08104,0.000845152,0.000845152,0.000845152
10,282.744,1.11565,0.98856,1.21969,0.90072,0.63679,0.72208,0.56129,0.99961,1.49266,1.11494,0.000936341,0.000936341,0.000936341
11,312.254,1.23029,1.05506,1.32356,0.50321,0.73684,0.76064,0.6114,0.92549,7.68327,1.14867,0.00102654,0.00102654,0.00102654
12,340.102,1.15162,0.93202,1.2519,0.99786,0.87719,0.89193,0.70902,0.903,1.36196,1.04077,0.00111575,0.00111575,0.00111575
13,368.359,1.04565,0.76085,1.13414,0.98429,0.87719,0.90041,0.68743,1.01037,1.23747,1.1182,0.00120397,0.00120397,0.00120397
14,395.531,1.09314,0.96626,1.2076,0.98429,0.87719,0.90041,0.68743,1.01037,1.23747,1.1182,0.0012912,0.0012912,0.0012912
