epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.2181,2.01839,2.56117,2.06238,0.87647,1,0.96453,0.56919,1.50017,0.82335,1.20823,6e-05,6e-05,6e-05
2,44.3841,1.7517,1.38221,1.81755,1,0.9732,0.99352,0.80941,0.73297,0.92204,0.93043,0.000139307,0.000139307,0.000139307
3,64.8621,1.33726,1.08086,1.34081,0.92475,1,0.99273,0.82382,0.66485,0.91566,0.9136,0.000217822,0.000217822,0.000217822
4,84.9869,1.26574,1.1644,1.38479,0.95644,1,0.97115,0.73857,0.87908,1.13534,1.00611,0.000295545,0.000295545,0.000295545
5,105.235,1.36451,1.2151,1.45272,0.9932,0.98,0.9872,0.72428,0.95926,1.41328,1.03617,0.000372476,0.000372476,0.000372476
6,125.462,1.28046,1.15257,1.3853,0.99215,0.94,0.96768,0.76659,0.82758,1.38894,0.99102,0.000448615,0.000448615,0.000448615
7,145.512,1.13575,1.04751,1.26047,0.99715,1,0.995,0.78938,0.78779,0.58156,0.97106,0.000523962,0.000523962,0.000523962
8,165.918,1.26264,1.16299,1.39607,0.99708,1,0.995,0.81989,0.7545,0.62313,0.94507,0.000598517,0.000598517,0.000598517
9,186.418,1.51153,1.49422,1.64597,0.92127,0.94,0.94991,0.75798,0.84289,0.76467,0.97253,0.00067228,0.00067228,0.00067228
10,207.315,1.35409,1.1858,1.35365,0.99411,1,0.995,0.79425,0.83945,0.8537,0.96704,0.000745251,0.000745251,0.000745251
11,227.594,1.288,1.21547,1.43288,0.95984,0.95596,0.9873,0.75017,0.91677,0.58468,0.99197,0.00081743,0.00081743,0.00081743
12,248.573,1.17089,1.01387,1.24509,0.99606,1,0.995,0.75121,0.92852,0.6242,1.0205,0.000888817,0.000888817,0.000888817
13,269.278,1.03778,0.91505,1.17964,0.91779,0.98,0.98853,0.72481,0.92775,0.72323,1.03604,0.000959412,0.000959412,0.000959412
14,289.137,1.14122,1.02724,1.29674,0.83,0.88,0.90584,0.62473,1.09107,0.79538,1.15596,0.00102922,0.00102922,0.00102922
15,309.186,1.13666,0.8818,1.22234,0.85615,0.83333,0.9048,0.56766,1.30845,1.09471,1.38761,0.00109823,0.00109823,0.00109823
16,329.523,1.27378,1.14724,1.37631,0.85615,0.83333,0.9048,0.56766,1.30845,1.09471,1.38761,0.00116645,0.00116645,0.00116645
17,350.493,1.58899,1.63819,1.66849,0.42269,0.52724,0.48289,0.16689,2.45292,1.85045,2.51755,0.00123387,0.00123387,0.00123387
18,372.079,1.07608,0.79437,1.17165,0.89633,0.48,0.59937,0.44888,1.16913,1.28836,1.23679,0.00130051,0.00130051,0.00130051
19,393.772,1.11028,0.9025,1.21604,0.89633,0.48,0.59937,0.44888,1.16913,1.28836,1.23679,0.00136635,0.00136635,0.00136635
20,413.929,1.00643,0.75821,1.09748,0.99441,1,0.995,0.73951,0.9018,0.63849,1.00946,0.0014314,0.0014314,0.0014314
21,434.226,1.05948,0.8744,1.19573,0.9932,0.96,0.99346,0.73171,0.98851,0.6766,1.04699,0.00149566,0.00149566,0.00149566
22,454.296,1.13602,0.93663,1.26592,0.9932,0.96,0.99346,0.73171,0.98851,0.6766,1.04699,0.00155913,0.00155913,0.00155913
23,474.423,0.99709,0.85142,1.20536,0.99338,1,0.995,0.79119,0.79323,0.63531,0.95467,0.0016218,0.0016218,0.0016218
24,494.426,1.24043,0.9302,1.25616,0.99338,1,0.995,0.79119,0.79323,0.63531,0.95467,0.00168368,0.00168368,0.00168368
25,514.529,1.08056,0.85173,1.17666,1,0.99937,0.995,0.75115,0.87543,0.70166,1.00253,0.00174478,0.00174478,0.00174478
26,534.516,1.09089,0.95963,1.18026,1,0.99937,0.995,0.75115,0.87543,0.70166,1.00253,0.0017525,0.0017525,0.0017525
27,554.554,1.20665,1.02199,1.25337,0.71481,0.78,0.82443,0.51085,1.31588,1.0213,1.15708,0.0017426,0.0017426,0.0017426
28,574.859,1.25032,1.06711,1.33818,0.71481,0.78,0.82443,0.51085,1.31588,1.0213,1.15708,0.0017327,0.0017327,0.0017327
