epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,304.413,1.26136,1.58843,1.37728,0.99866,1,0.995,0.79073,0.79054,0.53039,0.94055,0.0005744,0.0005744,0.0005744
38,312.465,0.95684,0.96861,1.16254,0.99866,1,0.995,0.79073,0.79054,0.53039,0.94055,0.0005348,0.0005348,0.0005348
39,320.499,1.05613,0.92577,1.19676,0.99866,1,0.995,0.79479,0.78201,0.51926,0.93803,0.0004952,0.0004952,0.0004952
40,328.611,1.11063,1.06963,1.24713,0.99866,1,0.995,0.79479,0.78201,0.51926,0.93803,0.0004556,0.0004556,0.0004556
41,336.548,1.28188,1.45085,1.37055,0.99857,1,0.995,0.81184,0.75331,0.51659,0.93071,0.000416,0.000416,0.000416
42,344.46,0.85457,0.91693,1.09004,0.99857,1,0.995,0.81184,0.75331,0.51659,0.93071,0.0003764,0.0003764,0.0003764
43,352.5,0.91054,0.92281,1.11398,0.99836,1,0.995,0.82439,0.72015,0.52998,0.92251,0.0003368,0.0003368,0.0003368
44,360.571,0.88246,0.88981,1.08464,0.99836,1,0.995,0.82439,0.72015,0.52998,0.92251,0.0002972,0.0002972,0.0002972
45,368.572,0.92436,0.93057,1.08319,0.99837,1,0.995,0.8264,0.71599,0.55157,0.91985,0.0002576,0.0002576,0.0002576
46,376.612,0.91933,0.85986,1.07123,0.99837,1,0.995,0.8264,0.71599,0.55157,0.91985,0.000218,0.000218,0.000218
47,384.816,0.90317,0.88153,1.09063,0.99835,1,0.995,0.82524,0.72273,0.56381,0.92137,0.0001784,0.0001784,0.0001784
48,392.755,1.23073,1.21268,1.4083,0.99835,1,0.995,0.82524,0.72273,0.56381,0.92137,0.0001388,0.0001388,0.0001388
49,400.652,1.23892,1.21911,1.43623,0.99837,1,0.995,0.82268,0.73336,0.55603,0.92383,9.92e-05,9.92e-05,9.92e-05
50,408.654,0.90641,0.8705,1.05924,0.99837,1,0.995,0.82268,0.73336,0.55603,0.92383,5.96e-05,5.96e-05,5.96e-05
