epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.5584,1.54397,2.09482,1.53871,0.88536,0.91228,0.89196,0.55219,1.39526,2.09888,1.26355,8e-05,8e-05,8e-05
2,56.2255,1.4833,1.41479,1.54414,0.94419,0.89048,0.91156,0.74093,0.77584,0.84982,1.00895,0.000178218,0.000178218,0.000178218
3,82.83,1.3337,1.20364,1.38306,0.96286,0.9098,0.91489,0.72741,0.81962,0.85641,1.00754,0.000274456,0.000274456,0.000274456
4,109.647,1.42103,1.22571,1.44459,0.77795,0.87719,0.76576,0.59539,0.89109,2.11265,0.9986,0.000368714,0.000368714,0.000368714
5,136.45,1.31908,1.32898,1.4184,0.75994,0.85965,0.77081,0.5628,0.9574,1.4781,1.01017,0.000460992,0.000460992,0.000460992
6,162.782,1.12835,1.02598,1.22375,0.43891,0.6039,0.38302,0.24537,1.03054,2.01673,1.1104,0.00055129,0.00055129,0.00055129
7,189.838,1.18093,1.00365,1.2616,0.82882,0.84211,0.78822,0.64082,0.89056,1.40265,1.04407,0.000639608,0.000639608,0.000639608
8,216.592,1.61895,1.4898,1.53743,0.97952,0.87719,0.89691,0.70459,0.89173,1.32893,1.03587,0.000725946,0.000725946,0.000725946
9,243.253,1.24092,1.17085,1.30134,0.9608,0.87719,0.89046,0.70485,0.90418,1.69249,1.04519,0.000810304,0.000810304,0.000810304
10,269.767,1.06843,0.97946,1.18635,0.75182,0.84211,0.78765,0.60364,0.873,1.16407,1.03776,0.000892682,0.000892682,0.000892682
11,296.124,1.26833,1.06771,1.35135,0.99565,0.87719,0.91448,0.72428,0.92766,1.17044,1.17542,0.00097308,0.00097308,0.00097308
12,322.678,1.1574,0.95729,1.23867,0.99306,0.87719,0.88588,0.70938,0.90528,1.23971,1.08277,0.0010515,0.0010515,0.0010515
13,349.024,1.00202,0.74646,1.10773,0.99359,0.87719,0.88197,0.67969,0.93642,1.19477,1.07891,0.00112794,0.00112794,0.00112794
14,375.212,1.10394,0.98915,1.24632,0.99359,0.87719,0.88197,0.67969,0.93642,1.19477,1.07891,0.00120239,0.00120239,0.00120239
15,401.554,1.19616,1.05024,1.25009,0.89118,0.87719,0.88598,0.67733,0.96336,1.17508,1.09428,0.00127487,0.00127487,0.00127487
16,428.021,1.20463,1.09598,1.36296,0.93808,0.87719,0.89617,0.69183,0.94879,0.78303,1.06643,0.00134537,0.00134537,0.00134537
17,454.688,1.141,0.92014,1.23461,0.99555,0.87719,0.89184,0.61853,1.14421,0.92847,1.11472,0.00141389,0.00141389,0.00141389
18,481.366,1.11821,0.93352,1.20894,0.99555,0.87719,0.89184,0.61853,1.14421,0.92847,1.11472,0.00148043,0.00148043,0.00148043
19,507.879,1.10048,0.83751,1.1691,0.94049,0.89474,0.93377,0.55461,1.40009,1.2832,1.22305,0.00154498,0.00154498,0.00154498
20,534.096,1.07848,0.84556,1.2171,0.97022,0.87719,0.92663,0.69669,0.93704,0.79576,1.0381,0.00160756,0.00160756,0.00160756
21,560.427,1.38812,1.26509,1.45912,0.97022,0.87719,0.92663,0.69669,0.93704,0.79576,1.0381,0.001604,0.001604,0.001604
22,587.284,1.35807,1.09456,1.35827,0.99448,0.87719,0.89622,0.69358,0.92927,0.79451,1.01766,0.0015842,0.0015842,0.0015842
23,613.611,1.34553,1.01078,1.33891,0.41715,0.59649,0.38731,0.2647,1.2819,2.14354,1.28617,0.0015644,0.0015644,0.0015644
24,639.864,1.10498,0.90901,1.21408,0.41715,0.59649,0.38731,0.2647,1.2819,2.14354,1.28617,0.0015446,0.0015446,0.0015446
25,666.914,1.14733,0.94161,1.28465,1,0.87561,0.88855,0.69243,0.91811,1.08482,1.03815,0.0015248,0.0015248,0.0015248
26,694.443,1.21523,1.02632,1.29229,1,0.87561,0.88855,0.69243,0.91811,1.08482,1.03815,0.001505,0.001505,0.001505
27,721.061,1.16741,0.97592,1.26215,1,0.76791,0.88602,0.70175,0.89288,0.90495,1.05411,0.0014852,0.0014852,0.0014852
28,747.505,1.14343,0.92512,1.20599,0.94285,0.86842,0.89895,0.65999,1.03514,0.87885,1.12611,0.0014654,0.0014654,0.0014654
29,773.748,1.21053,0.96822,1.32844,0.94285,0.86842,0.89895,0.65999,1.03514,0.87885,1.12611,0.0014456,0.0014456,0.0014456
30,801.195,1.21376,0.9615,1.33217,0.99421,0.85965,0.92485,0.66071,1.07596,0.75289,1.09041,0.0014258,0.0014258,0.0014258
31,827.927,1.06878,0.90545,1.18555,0.9974,0.87719,0.9104,0.65568,1.02927,0.84589,1.06789,0.001406,0.001406,0.001406
32,854.134,1.07283,0.86439,1.18042,0.9974,0.87719,0.9104,0.65568,1.02927,0.84589,1.06789,0.0013862,0.0013862,0.0013862
33,880.501,1.01943,0.79332,1.18005,0.99647,0.87719,0.90761,0.6884,0.98779,1.09503,1.083,0.0013664,0.0013664,0.0013664
34,906.842,1.09761,0.8439,1.22478,0.99647,0.87719,0.90761,0.6884,0.98779,1.09503,1.083,0.0013466,0.0013466,0.0013466
35,933.161,1.09694,0.95146,1.19635,0.99859,0.87719,0.94098,0.72254,0.89197,0.77702,1.02486,0.0013268,0.0013268,0.0013268
36,959.539,1.04062,0.85847,1.1794,0.99931,0.87719,0.92189,0.71215,0.89727,0.66453,1.02464,0.001307,0.001307,0.001307
37,986.982,1.03328,0.79003,1.16572,0.99931,0.87719,0.92189,0.71215,0.89727,0.66453,1.02464,0.0012872,0.0012872,0.0012872
38,1013.78,1.09567,0.91118,1.25195,0.98031,0.87371,0.91249,0.71707,0.89138,0.62248,1.0271,0.0012674,0.0012674,0.0012674
39,1040.21,1.17887,0.90288,1.28052,1,0.87514,0.91316,0.71833,0.88547,0.60781,1.0228,0.0012476,0.0012476,0.0012476
40,1066.73,1.05058,0.8164,1.18446,1,0.87514,0.91316,0.71833,0.88547,0.60781,1.0228,0.0012278,0.0012278,0.0012278
41,1093.31,1.03206,0.79955,1.16677,0.99783,0.87719,0.89639,0.69243,0.94928,0.59935,1.03941,0.001208,0.001208,0.001208
42,1120.08,1.00925,0.76212,1.14948,0.99783,0.87719,0.89639,0.69243,0.94928,0.59935,1.03941,0.0011882,0.0011882,0.0011882
43,1146.84,1.17849,0.95867,1.25014,0.99697,0.87719,0.903,0.66677,1.02774,0.82252,1.09141,0.0011684,0.0011684,0.0011684
44,1172.88,0.98052,0.73186,1.13053,0.99474,0.87719,0.90225,0.68619,1.00087,0.96407,1.10219,0.0011486,0.0011486,0.0011486
45,1199.17,1.12671,0.9714,1.3845,0.99474,0.87719,0.90225,0.68619,1.00087,0.96407,1.10219,0.0011288,0.0011288,0.0011288
